sku,nombre,marca,modelo,tipo,calidad,marco,compatibilidad,precio_publico,precio_mayorista,precio_promocional,costo,stock,publicado,novedad,nuevo_ingreso,promocion,fecha_ingreso,orden_destacado
FLX-APP-XSMAX,Flex de carga iPhone XS Max,iPhone,XS Max,Flex de carga,,,,10000,,,,4,true,false,false,false,,0
PCG-MOT-E13,Placa de carga Motorola E13,Motorola,E13,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-E14,Placa de carga Motorola E14,Motorola,E14,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-E15,Placa de carga Motorola E15,Motorola,E15,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-E20,Placa de carga Motorola E20,Motorola,E20,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-E22,Placa de carga Motorola E22,Motorola,E22,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-E32,Placa de carga Motorola E32,Motorola,E32,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-E40,Placa de carga Motorola E40,Motorola,E40,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-E5PLAY,Placa de carga Motorola E5 Play,Motorola,E5 Play,Placa de carga,,,,5000,,,,1,true,false,false,false,,0
PCG-MOT-E6PLAY,Placa de carga Motorola E6 Play,Motorola,E6 Play,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-E6PLUS,Placa de carga Motorola E6 Plus,Motorola,E6 Plus,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-E6I,Placa de carga Motorola E6I,Motorola,E6I,Placa de carga,,,,5000,,,,4,true,false,false,false,,0
PCG-MOT-E6S,Placa de carga Motorola E6S,Motorola,E6S,Placa de carga,,,,5000,,,,4,true,false,false,false,,0
PCG-MOT-E7,Placa de carga Motorola E7,Motorola,E7,Placa de carga,,,,5000,,,,1,true,false,false,false,,0
PCG-MOT-E7PLUS,Placa de carga Motorola E7 Plus,Motorola,E7 Plus,Placa de carga,,,,5000,,,,6,true,false,false,false,,0
PCG-MOT-E7POWER,Placa de carga Motorola E7 Power,Motorola,E7 Power,Placa de carga,,,,6000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE20,Placa de carga Motorola Edge 20,Motorola,Edge 20,Placa de carga,,,,6000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE20LITE,Placa de carga Motorola Edge 20 Lite,Motorola,Edge 20 Lite,Placa de carga,,,,6000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE20PRO,Placa de carga Motorola Edge 20 Pro,Motorola,Edge 20 Pro,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE30,Placa de carga Motorola Edge 30,Motorola,Edge 30,Placa de carga,,,,10000,,,,1,true,false,false,false,,0
PCG-MOT-EDGE30NEO,Placa de carga Motorola Edge 30 Neo,Motorola,Edge 30 Neo,Placa de carga,,,,10000,,,,1,true,false,false,false,,0
PCG-MOT-EDGE30ULTRA,Placa de carga Motorola Edge 30 Ultra,Motorola,Edge 30 Ultra,Placa de carga,,,,10000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE50FUSION,Placa de carga Motorola Edge 50 Fusion,Motorola,Edge 50 Fusion,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE50,Placa de carga Motorola Edge 50,Motorola,Edge 50,Placa de carga,,,,10000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE50NEO,Placa de carga Motorola Edge 50 Neo,Motorola,Edge 50 Neo,Placa de carga,,,,10000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE50PRO,Placa de carga Motorola Edge 50 Pro,Motorola,Edge 50 Pro,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE50ULTRA,Placa de carga Motorola Edge 50 Ultra,Motorola,Edge 50 Ultra,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE60FUSION,Placa de carga Motorola Edge 60 Fusion,Motorola,Edge 60 Fusion,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-MOT-EDGE60,Placa de carga Motorola Edge 60,Motorola,Edge 60,Placa de carga,,,,12000,,,,1,true,false,false,false,,0
PCG-MOT-G04,Placa de carga Motorola G04,Motorola,G04,Placa de carga,,,,7000,,,,4,true,false,false,false,,0
PCG-MOT-G04S,Placa de carga Motorola G04S,Motorola,G04S,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-G05,Placa de carga Motorola G05,Motorola,G05,Placa de carga,,,,7000,,,,2,true,false,false,false,,0
PCG-MOT-G06,Placa de carga Motorola G06,Motorola,G06,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-G10,Placa de carga Motorola G10,Motorola,G10,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-G13,Placa de carga Motorola G13,Motorola,G13,Placa de carga,,,,5000,,,,4,true,false,false,false,,0
PCG-MOT-G14,Placa de carga Motorola G14,Motorola,G14,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G15,Placa de carga Motorola G15,Motorola,G15,Placa de carga,,,,7000,,,,5,true,false,false,false,,0
PCG-MOT-G20,Placa de carga Motorola G20,Motorola,G20,Placa de carga,,,,5000,,,,7,true,false,false,false,,0
PCG-MOT-G22,Placa de carga Motorola G22,Motorola,G22,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G23,Placa de carga Motorola G23,Motorola,G23,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
PCG-MOT-G24,Placa de carga Motorola G24,Motorola,G24,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G24POWER,Placa de carga Motorola G24 Power,Motorola,G24 Power,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G32,Placa de carga Motorola G32,Motorola,G32,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G41,Placa de carga Motorola G41,Motorola,G41,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G42,Placa de carga Motorola G42,Motorola,G42,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-MOT-G625G,Placa de carga Motorola G62 5G,Motorola,G62 5G,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-MOT-G85,Placa de carga Motorola G85,Motorola,G85,Placa de carga,,,,10000,,,,3,true,false,false,false,,0
PCG-MOT-G9POWER,Placa de carga Motorola G9 Power,Motorola,G9 Power,Placa de carga,,,,5000,,,,1,true,false,false,false,,0
PCG-SAM-A01CORE,Placa de carga Samsung A01 Core,Samsung,A01 Core,Placa de carga,,,A013,5000,,,,2,true,false,false,false,,0
PCG-SAM-A01,Placa de carga Samsung A01,Samsung,A01,Placa de carga,,,A015; A01M,5000,,,,2,true,false,false,false,,0
PCG-SAM-A0202A,Placa de carga Samsung A02 02A,Samsung,A02 02A,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-SAM-A02S,Placa de carga Samsung A02S,Samsung,A02S,Placa de carga,,,A025F,6000,,,,1,true,false,false,false,,0
PCG-SAM-A03,Placa de carga Samsung A03,Samsung,A03,Placa de carga,,,A035F,5000,,,,5,true,false,false,false,,0
PCG-SAM-A03CORE,Placa de carga Samsung A03 Core,Samsung,A03 Core,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-SAM-A03S,Placa de carga Samsung A03S,Samsung,A03S,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-SAM-A04E,Placa de carga Samsung A04E,Samsung,A04E,Placa de carga,,,,5000,,,,5,true,false,false,false,,0
PCG-SAM-A04S,Placa de carga Samsung A04S,Samsung,A04S,Placa de carga,,,,5000,,,,3,true,false,false,false,,0
PCG-SAM-A05,Placa de carga Samsung A05,Samsung,A05,Placa de carga,,,,8000,,,,3,true,false,false,false,,0
PCG-SAM-A064G,Placa de carga Samsung A06 4G,Samsung,A06 4G,Placa de carga,,,,8000,,,,2,true,false,false,false,,0
PCG-SAM-A07,Placa de carga Samsung A07,Samsung,A07,Placa de carga,,,,8000,,,,3,true,false,false,false,,0
PCG-SAM-A10,Placa de carga Samsung A10,Samsung,A10,Placa de carga,,,A105F,5000,,,,0,true,false,false,false,,0
PCG-SAM-A10S,Placa de carga Samsung A10S,Samsung,A10S,Placa de carga,,,A107F; M15,5000,,,,2,true,false,false,false,,0
PCG-SAM-A10S-10SM16,Placa de carga Samsung A10S,Samsung,A10S,Placa de carga,,,M16,6000,,,,1,true,false,false,false,,0
PCG-SAM-A11,Placa de carga Samsung A11,Samsung,A11,Placa de carga,,,,8000,,,,3,true,false,false,false,,0
PCG-SAM-A12,Placa de carga Samsung A12,Samsung,A12,Placa de carga,,,A125; A127,5000,,,,2,true,false,false,false,,0
PCG-SAM-A134G,Placa de carga Samsung A13 4G,Samsung,A13 4G,Placa de carga,,,,5000,,,,1,true,false,false,false,,0
PCG-SAM-A135G,Placa de carga Samsung A13 5G,Samsung,A13 5G,Placa de carga,,,,5000,,,,5,true,false,false,false,,0
PCG-SAM-A144G,Placa de carga Samsung A14 4G,Samsung,A14 4G,Placa de carga,,,,8000,,,,1,true,false,false,false,,0
PCG-SAM-A145G,Placa de carga Samsung A14 5G,Samsung,A14 5G,Placa de carga,,,A146B,8000,,,,5,true,false,false,false,,0
PCG-SAM-A154G5G,Placa de carga Samsung A15 4G 5G,Samsung,A15 4G 5G,Placa de carga,,,,6000,,,,5,true,false,false,false,,0
PCG-SAM-A165G,Placa de carga Samsung A16 5G,Samsung,A16 5G,Placa de carga,,,,9000,,,,4,true,false,false,false,,0
PCG-SAM-A175G,Placa de carga Samsung A17 5G,Samsung,A17 5G,Placa de carga,,,,9000,,,,2,true,false,false,false,,0
PCG-SAM-A20,Placa de carga Samsung A20,Samsung,A20,Placa de carga,,,A205F,5000,,,,3,true,false,false,false,,0
PCG-SAM-A20SM12,Placa de carga Samsung A20S M12,Samsung,A20S M12,Placa de carga,,,,5000,,,,2,true,false,false,false,,0
PCG-SAM-A21S,Placa de carga Samsung A21S,Samsung,A21S,Placa de carga,,,,7000,,,,2,true,false,false,false,,0
PCG-SAM-A234G,Placa de carga Samsung A23 4G,Samsung,A23 4G,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-SAM-A235G,Placa de carga Samsung A23 5G,Samsung,A23 5G,Placa de carga,,,,12000,,,,2,true,false,false,false,,0
PCG-SAM-A244G,Placa de carga Samsung A24 4G,Samsung,A24 4G,Placa de carga,,,,8000,,,,1,true,false,false,false,,0
PCG-SAM-A255G,Placa de carga Samsung A25 5G,Samsung,A25 5G,Placa de carga,,,,8000,,,,2,true,false,false,false,,0
PCG-SAM-A26,Placa de carga Samsung A26,Samsung,A26,Placa de carga,,,,8000,,,,2,true,false,false,false,,0
PCG-SAM-A30,Placa de carga Samsung A30,Samsung,A30,Placa de carga,,,A305F,6000,,,,2,true,false,false,false,,0
PCG-SAM-A30S,Placa de carga Samsung A30S,Samsung,A30S,Placa de carga,,,A307,6000,,,,1,true,false,false,false,,0
PCG-SAM-A31,Placa de carga Samsung A31,Samsung,A31,Placa de carga,,,A315,4000,,,,2,true,false,false,false,,0
PCG-SAM-A324G,Placa de carga Samsung A32 4G,Samsung,A32 4G,Placa de carga,,,A325F,8000,,,,2,true,false,false,false,,0
PCG-SAM-A325G,Placa de carga Samsung A32 5G,Samsung,A32 5G,Placa de carga,,,A326F,8000,,,,2,true,false,false,false,,0
PCG-SAM-A335G,Placa de carga Samsung A33 5G,Samsung,A33 5G,Placa de carga,,,A336,8000,,,,2,true,false,false,false,,0
PCG-SAM-A34,Placa de carga Samsung A34,Samsung,A34,Placa de carga,,,,8000,,,,2,true,false,false,false,,0
PCG-SAM-A355G,Placa de carga Samsung A35 5G,Samsung,A35 5G,Placa de carga,,,,8000,,,,1,true,false,false,false,,0
PCG-SAM-A36,Placa de carga Samsung A36,Samsung,A36,Placa de carga,,,,14000,,,,1,true,false,false,false,,0
PCG-SAM-A50,Placa de carga Samsung A50,Samsung,A50,Placa de carga,,,A505F,5000,,,,2,true,false,false,false,,0
PCG-SAM-A70,Placa de carga Samsung A70,Samsung,A70,Placa de carga,,,,12000,,,,1,true,false,false,false,,0
PCG-TCL-20B,Placa de carga TCL 20B,TCL,20B,Placa de carga,,,,6000,,,,2,true,false,false,false,,0
PCG-TCL-20E,Placa de carga TCL 20E,TCL,20E,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
PCG-TCL-20R,Placa de carga TCL 20R,TCL,20R,Placa de carga,,,,7000,,,,3,true,false,false,false,,0
PCG-TCL-20SE,Placa de carga TCL 20SE,TCL,20SE,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
PCG-TCL-20XE,Placa de carga TCL 20XE,TCL,20XE,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
PCG-TCL-20Y,Placa de carga TCL 20Y,TCL,20Y,Placa de carga,,,,7500,,,,3,true,false,false,false,,0
PCG-TCL-305,Placa de carga TCL 305,TCL,305,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
PCG-TCL-306,Placa de carga TCL 306,TCL,306,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
PCG-TCL-30E,Placa de carga TCL 30E,TCL,30E,Placa de carga,,,,6000,,,,3,true,false,false,false,,0
